tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
33149011003p8;33149011003p8;2017.0;;27;4;33149011003p8;administração pública e de empresas, ciências contábeis e turismo;centro universitário campo limpo paulista;campo limpo paulista;administração das micro e pequenas empresas;sudeste;0.0;unifaccamp;sp;
25002015003p6;25002015003p6;2003.0;"language; discourse; research; analysis; production; genre; subject; text; work; discursive; speech; school; social; digital; portuguese; student; process; other; theory; practice; relationship; child; relation; textbook; literacy; acquisition; multimodal; textual; use; context";41;5;25002015003p6;linguística e literatura;universidade católica de pernambuco;recife;ciências da linguagem;nordeste;92.0;unicap;pe;"intertextuality; ad; school research; libras; digital educational; logo; ethos; prayer; aphasic; deaf; multimodal genre; anaphora; homosexuality; pernambuco; bottle; ee; health; cda; digital game; messenger; textbook; genre; quilombola; social gender; benveniste; ethnical; child; objects; aspects; social network"
24009016004p4;24009016004p4;1979.0;"process; water; system; membrane; material; production; catalyst; work; concentration; model; oil; clay; method; energy; time; analysis; reaction; temperature; treatment; use; technique; condition; acid; chemical; high; variable; metal; adsorption; synthesis; zeolite";12;3;24009016004p4;engenharias ii;universidade federal de campina grande;campina grande;engenharia química;nordeste;190.0;ufcg;pb;"diaphragm; sba-15; ica; trapping; okra; mcm-41; entropy; zeolite; glycerin; metamodel; vinasse; lettuce; geopolymer; vd; terephthalic; xylitol; niti; diuron; hydrocyclone; operability; membrane; bagasse; microalgae; molecular sieve; student; cr3; explosive; geopolymeric; cyclonic; vermiculite"
31021018014p2;31021018014p2;2011.0;"specie; analysis; area; beach; pattern; size; region; population; environment; water; change; environmental; distribution; different; variation; group; genus; year; datum; abundance; effect; level; fish; body; community; period; reservoir; species; total; sample";7;4;31021018014p2;biodiversidade;universidade federal do estado do rio de janeiro;rio de janeiro;ciências biológicas (biodiversidade neotropical);sudeste;68.0;unirio;rj;"swine; accident; beach; secondary production; asymmetry; pneumatic; vanilla; rr; range size; rule; mangrove; sls; stoichiometry; station; sperm; wp; body size; decay; amf; fa; marambaia; cave; palm heart; palm; saxitoxin; foramen; sds; abrolhos; intertidal; gsh"
53001010087p1;53001010087p1;2011.0;"education; program; research; policy; student; public; federal; course; school; teacher; analysis; training; management; university; datum; process; educational; professional; implementation; institution; work; teaching; public policy; social; campus; technical; national; development; order; action";38;3;53001010087p1;educação;universidade de brasília;brasília;educação;centro-oeste;74.0;unb;df;"entrepreneurship; nursery; ifto; ifg; performance evaluation; fishing; social capital; unb; ppa; ept; if; fundeb; student assistance; accreditation; capacitation; integration; indicator; school feeding; evaluation; supervised; unemployment insurance; csf; licentiate; licentiate course; institutional management; educational material; floor; women program; technological research; subsequent"
42002010003p8;42002010003p8;1974.0;"system; power; energy; converter; voltage; control; methodology; method; distribution; current; generation; load; model; network; analysis; work; design; photovoltaic; simulation; efficiency; use; operation; order; grid; high; electric; time; source; frequency; electrical";14;6;42002010003p8;engenharias iv;universidade federal de santa maria;santa maria;engenharia elétrica;sul;236.0;ufsm;rs;"oled; swing; fuse; firewall; vvc; surge; led; gan; geothermal; resonant; converter; modulation; efl; electric vehicle; alarm; biogas; observer; rotor; magnus; power transformer; irradiance; health index; pv; telecommunications; tariff; fault; trio; tp; reconfiguration; transformer"
32001010175p5;32001010175p5;2017.0;;6;4;32001010175p5;ciências biológicas i;universidade federal de minas gerais;belo horizonte;profbio ensino de biologia em rede nacional;sudeste;0.0;ufmg;mg;
26001012003p2;26001012003p2;1992.0;"compound; activity; acid; extract; method; reaction; interaction; analysis; work; value; different; sample; complex; system; chemical; catalyst; organic; test; group; antioxidant; concentration; process; ph; technique; presence; potential; l-1; material; specie; order";4;4;26001012003p2;química;universidade federal de alagoas;maceió;química e biotecnologia;nordeste;182.0;ufal;al;"mtz; pheromone; tm; fingerprint; asp; cml; sh; reflexion; rx; lagoon; ova; alkyne; dwarf; ovalbumin; repellent; fly; gsh; benzodiazepine; trypsin; nac; humin; aa; sugarcane plant; eep; vinasse; barrel; epilepsy; algae; channel; oil"
33002010103p3;33002010103p3;1971.0;"language; analysis; other; work; research; structure; text; brazilian; different; portuguese; semiotics; linguistic; datum; construction; discourse; meaning; object; order; form; vowel; word; relation; theoretical; process; speech; sentence; theory; verb; semiotic; system";41;6;33002010103p3;linguística e literatura;universidade de são paulo;são paulo;lingüística;sudeste;151.0;usp;sp;"dative; sharpness; vowel; mood; gc; demonstration; repetition; relative; timbre; compound; nasal; evidential; clause; slip; tof; collective actor; situ; danish; rhetorical; stress; attachment; morpheme; syncretism; head; min; syncretic; gabriela; rupture; formula; sentence"
31003010170p7;31003010170p7;2016.0;"public; urban; research; policy; municipality; education; inequality; field; goytacazes; social; security; public policy; space; public security; development; market; family; process; black; city; campos; survey; problem; project; brazil; interview; issue; neighborhood; labor; action";30;3;31003010170p7;planejamento urbano e regional / demografia;universidade federal fluminense;campos dos goytacazes;desenvolvimento regional, ambiente e políticas públicas;sudeste;13.0;uff;rj;"itaperuna; field education; public security; public problem; pronaf; security; landscape; segregation; labor market; barra; periphery; inequality; environmental; environmental issue; master plan; condominium; real estate; neighborhood; tamandaré; estate; jockey; major investment; schooling; urban planning; arena; labor; campos; black woman; closed; master"
42007011011p9;42007011011p9;1999.0;"social; research; process; analysis; policy; education; public; people; identity; life; action; woman; work; relation; new; perspective; context; datum; group; field; state; indigenous; interview; community; thesis; health; cooperative; solidarity; project; other";34;4;42007011011p9;sociologia;universidade do vale do rio dos sinos;são leopoldo;ciências sociais;sul;109.0;unisinos;rs;"graffiti; trash; humanitarian; unisinos; cooperative; deaf; cellphone; elderly; cassava; imc; pornography; social educational; solidarity; physical education; porn; prouni; revenge; resistence; adolescent; hunger; suicide; water; indigenous health; vatican council; black woman; black; class; health; memory; collective identity"
22003010018p1;22003010018p1;2007.0;"problem; network; approach; software; system; model; solution; work; application; time; algorithm; performance; technique; datum; task; information; project; architecture; new; optimization; management; process; order; scenario; development; environment; analysis; service; use; user";2;4;22003010018p1;ciência da computação;universidade estadual do ceará;fortaleza;ciência da computação;nordeste;74.0;uece;ce;"sda; cpp; helmet; slot; coloring; dea; openflow; ef?ciency; release; lte; slam; crs; face; bot; routing; naked; information security; business value; ir; transition model; yang; initial population; agent; postman; savage; next; risk; pwd; bug; rational"
33002010112p2;33002010112p2;1971.0;"work; novel; literary; literature; brazilian; narrative; author; form; analysis; text; thesis; narrator; book; other; reading; poetry; essay; process; first; way; character; order; writer; research; writing; time; language; story; different; point";41;5;33002010112p2;linguística e literatura;universidade de são paulo;são paulo;letras (teoria literária e literatura comparada);sudeste;137.0;usp;sp;"néstor; ponte; claro; fanfiction; company; trema; salomão; isaac; helplessness; son; chronicle; interruption; luisa; ill; japanese; press; enigma; realism; short story; maritime; dramaturgical; reader; tragic; azevedo; henriques; sete; irony; short; weaver; anjos"
33002010240p0;33002010240p0;2014.0;"company; business; research; management; process; model; innovation; project; organization; risk; factor; entrepreneurship; case; main; analysis; impact; startup; strategy; product; new; professional; interview; development; practice; objective; business model; market; experience; element; other";27;4;33002010240p0;administração pública e de empresas, ciências contábeis e turismo;universidade de são paulo;são paulo;empreendedorismo;sudeste;57.0;usp;sp;"pa; startup; product portfolio; business plan; downsizing; element; pricing; positive psychology; acquisition; p2p; grassroots; risk management; multichannel; restart; hardware; airport; entrepreneurial; idea; telecommunications; project management; bus; entrepreneurial behavior; business model; inclusive; acquisition process; launch; risk; impact; alliance; innovation"
40002012033p5;40002012033p5;2008.0;"process; development; software; network; work; model; management; problem; system; information; algorithm; quality; method; framework; approach; game; datum; environment; analysis; level; traffic; project; task; use; maturity; service; computer; technique; order; detection";2;3;40002012033p5;ciência da computação;universidade estadual de londrina;londrina;ciência da computação;sul;71.0;uel;pr;"alert; documentation; lr; contract; pivot; requisitos; flock; gamification; mda; bubble; lo; coalition; it service; segmentation; multiplication; lexicon; portfolio; similarity; game; player; maturity; scope; estimation process; program; skin; maturity level; energy; it; testing; human resource"
33002045018p2;33002045018p2;1996.0;"process; model; management; research; development; company; method; performance; analysis; literature; practice; system; business; work; production; project; case; knowledge; product; approach; main; organizational; quality; organization; application; tool; innovation; datum; relationship; use";13;5;33002045018p2;engenharias iii;universidade de são paulo ( são carlos );são carlos;engenharia de produção;sudeste;185.0;usp/sc;sp;"symbiosis; ops; layout; debriefing; eto; pss; make; reputation; enterprise; process model; cp; consequential; banking; agility; leadership development; alliance; m&a; lcm; sigma; mpm; minority; reference model; nis; shunt; healthcare; ims; competence; small business; strategic orientation; gm"
40006018017p5;40006018017p5;2011.0;"public; research; policy; governance; development; management; state; paraná; public policy; social; federal; analysis; municipality; administration; action; planning; objective; participation; municipal; process; program; university; public governance; datum; institution; control; information; public administration; service; society";30;4;40006018017p5;planejamento urbano e regional / demografia;universidade tecnológica federal do paraná;curitiba;planejamento e governança pública;sul;81.0;utfpr;pr;"city manager; global governance; port; ombudsman; idp; bpm; incubator; digital inclusion; bidding; financial capacity; homicide; tracking; public governance; poverty; guaíra; qwl; scholarship; ater; hospital; healthcare; ipd; multilevel; signing; trees; energy; societal; deliberative; apathy; condominium; project management"
52001016049p6;52001016049p6;2011.0;"research; discourse; analysis; work; language; identity; subject; other; character; discursive; space; literary; narrative; portuguese; relation; literature; corpus; theoretical; speech; process; order; concept; society; context; memory; author; social; teacher; culture; perspective";41;4;52001016049p6;linguística e literatura;universidade federal de goiás;goiânia;estudos da linguagem;centro-oeste;98.0;ufg;go;"proverb; vampire; chronicle; interdiscourse; vowel; tragic; rock; name; heterogeneity; grotesque; orthographic; magic; viola; deaf; tomb; communist; personage; space; eroticism; meme; automobile; catholicism; news medium; lyric; blog; ufg; dictionary; toponym; religious dimension; elis"
33002010227p4;33002010227p4;2012.0;"research; social; work; production; analysis; state; public; process; brazilian; city; knowledge; history; brazil; relation; group; life; way; concept; conflict; practice; space; experience; new; memory; discourse; paulo; são paulo; other; culture; são";45;4;33002010227p4;interdisciplinar;universidade de são paulo;são paulo;humanidades, direitos e outras legitimidades;sudeste;46.0;usp;sp;"money; black; ideas; ebc; yanomami; cannabis; punk; intolerance; sound; israeli; animal; theater; conflict; wild; morumbi; wild animal; haitians; capoeira angola; globalization; candomblé; recuperation; memory; capoeira; strike; itamaraty; turkish; travel; photograph; oral; texture"
32011016011p4;32011016011p4;2012.0;"removal; reactor; sulfate; water; concentration; phase; cod; ph; model; treatment; process; time; acid; metal; value; condition; system; environmental; anaerobic; l-1; analysis; area; bacteria; datum; reduction; efficiency; organic; mg; drainage; source";10;3;32011016011p4;engenharias i;universidade federal de alfenas;alfenas;ciência e engenharia ambiental;sudeste;61.0;unifal;mg;"fire; radon; water spring; cod; buffer zone; committee; sediment; cyclone; soil loss; min; vinasse; bioreactor; turbidity; rainwater; corporate sustainability; lactate; critical size; fragment; school; sulfate; bacillus; anammox; supplementation; losartan; ghg; cobalt; solid; amd; iron concentration; corporate"
40006018028p7;40006018028p7;2013.0;"research; education; student; teaching; teacher; knowledge; learning; practice; science; analysis; approach; course; contribution; pedagogical; training; process; group; area; instrument; datum; development; school; proposal; class; test; activity; formation; literacy; theory; mathematics";46;4;40006018028p7;ensino;universidade tecnológica federal do paraná;ponta grossa;ensino de ciência e tecnologia;sul;12.0;utfpr;pr;"operative; collaborative learning; invariant; cinema; genetics; intellectual disability; statistics; pnaic; pne; childhood education; game design; early childhood; disability; probability; sts; retention; childhood; intellectual; gi; distance; sts approach; statistical; movie; early childhood education; collaborative; retention test; cts; literacy; simulation; investigative activity"
41001010157p6;41001010157p6;2016.0;"area; unit; model; landslide; geotechnical; susceptibility; santa; santa catarina; catarina; disaster; soil; factor; program; risk; analysis; leptospirosis; region; management; safety; wind; military; mapping; action; method; test; cooperation; validation; police; public; municipality";49;3;41001010157p6;ciências ambientais;universidade federal de santa catarina;florianópolis;desastres naturais;sul;9.0;ufsc;sc;"leptospirosis; geotechnical; wind; susceptibility; disaster risk; military police; landslide; risk management; disaster risk management; test; slope; catarina; santa catarina; disaster; stability analysis; police; military; unit; stability; cooperation; shear test; safety factor; direct shear; santa; incidence; sé; even better; program; climate model; nova"
41020014006p1;41020014006p1;2015.0;"education; school; research; teacher; student; process; proposal; pedagogical; teaching; formation; educational; work; erechim; practice; public; learning; intervention; activity; analysis; integral; professional; perspective; datum; development; knowledge; year; class; popular; people; program";38;3;41020014006p1;educação;universidade federal da fronteira sul;erechim;educação;sul;35.0;uffs;rs;"countryside; pupa; violin; erechim; musicalization; more education; school knowledge; fraction; human rights; popular; interpreter; rights; interpreters; manipulative; young people; manipulative material; adult student; integral; secondary education; pact; evaluation; young; ict; language; literacy; adult; investigative; dance; digital game; secondary"
24009016011p0;24009016011p0;2003.0;"animal; sheep; goat; chapter; disease; group; dog; region; factor; risk; sample; state; control; infection; clinical; kg; day; paraíba; cattle; brazil; test; risk factor; herd; plant; second; treatment; first; prevalence; period; case";24;4;24009016011p0;medicina veterinária;universidade federal de campina grande;patos;ciência e saúde animal;nordeste;139.0;ufcg;pb;"pod; meloxicam; mbs; helicobacter; monensin; dipyrone; photosensitization; aversion; detomidine; bitch; ketamine; mvd; heart disease; nodule; m-15; scrotal; cheese; acupuncture; chitosan; bvdv; roraima; nitrate; bioceramic; dexmedetomidine; distemper; swimmer; potato; deficiency; prostate; mm³"
51001012001p0;51001012001p0;1988.0;"education; school; research; teacher; educational; student; practice; analysis; process; policy; mato; mato grosso; grosso; teaching; state; program; knowledge; social; training; work; document; public; curriculum; sul; action; datum; objective; development; other; field";38;5;51001012001p0;educação;fundação universidade federal de mato grosso do sul;campo grande;educação;centro-oeste;129.0;ufms;ms;"symbolic language; violence; internationalization; creativity; military; japanese; student assistance; violin; parfor; museum; indigenous; ict; border; fundeb; quotation; deaf; pantanal; technical education; tutor; unibanco; anarchist; homophobia; geography; educational agent; imperial; indigenous student; curricular document; memorial; azevedo; literacy"
21001014022p3;21001014022p3;2010.0;"effect; activity; antioxidant; test; treatment; dose; damage; extract; cell; use; chapter; acid; kg; group; vitro; drug; application; toxicity; potential; formulation; ml; chemotherapy; disease; patient; action; concentration; analysis; ascorbic acid; property; ascorbic";19;4;21001014022p3;farmácia;fundação universidade federal do piauí;teresina;ciencias farmaceuticas;nordeste;59.0;fufpi;pi;"lo; emphysema; cardanol; fc; gt; chemotherapy; hpmc; tellurium; gastritis; estrus; lippia; composite; microemulsion; ketamine; omeprazole; memory; phenobarbital; liposome; aa; notification; cddp; fluoxetine; origanoides; xerostomia; punica granatum; -terpinene; retinol; cham; oe; antineoplastic"
25001019059p5;25001019059p5;2003.0;"site; archaeological; analysis; research; group; graphic; area; context; rock; archaeology; region; material; profile; archaeological site; ceramic; historical; pernambuco; prehistoric; process; human; individual; datum; pattern; recife; bone; burial; century; element; practice; different";35;5;25001019059p5;antropologia / arqueologia;universidade federal de pernambuco;recife;arqueologia;nordeste;63.0;ufpe;pe;"tile; fortification; brick; clay; cemetery; bone; tipping; materiality; consumption behavior; osteoarthritis; cannibalism; canoe; graphic; archaeological; tridimensional; steam; deposit; prehistoric; pottery; site; ceramic; bairro; burial; capivara; heritage; mill; moxotó; jewish; social memory; lithic"
25003011015p0;25003011015p0;2003.0;"plant; genotype; genetic; number; fruit; experiment; specie; production; analysis; characteristic; selection; pernambuco; cultivar; variety; hybrid; population; design; region; high; breeding; group; variability; accession; experimental; environment; brazil; average; day; length; use";42;4;25003011015p0;ciências agrárias i;universidade federal rural de pernambuco;recife;agronomia ( melhoramento genético de plantas);nordeste;86.0;ufrpe;pe;"preencher; hx; lawn; mna; alpinia; sunflower; led; iac; progeny; opuntia; nodule; crt; iff; coriander; foliage; baby; salt stress; pollen; basil; pollen viability; vcu; petit; agave; melon; fiber content; cowpea bean; stylosanthes; variant; pod; acerola"
25001019078p0;25001019078p0;2010.0;"research; management; analysis; university; public; practice; datum; company; process; work; ufpe; interview; social; case; manager; service; communication; main; learning; strategy; education; strategic; model; quality; case study; federal; development; pernambuco; organization; information";27;3;25001019078p0;administração pública e de empresas, ciências contábeis e turismo;universidade federal de pernambuco;recife;administração;nordeste;62.0;ufpe;pe;"dmp; consortium; ufpe; a4; usability; st; routine; iep; microcredit; reflective practice; health research; internal public; kangaroo; map; trading; maintenance; hc; security; projection; instance; satisfaction; leadership; practitioner; entrepreneurial; people management; moodle; social responsibility; life quality; cin; artefact"
27001016172p1;27001016172p1;2016.0;"food; difficulty; san; child; family; extract; activity; compound; questionnaire; feeding; beet; nutritional; program; behavior; aspect; factor; perception; high; intake; bioactive; population; action; protein; municipality; refusal; condition; higher; research; reduction; antioxidant";50;3;27001016172p1;nutrição;fundação universidade federal de sergipe;são cristóvão;ciências da nutrição;nordeste;8.0;fufse;se;"beet; pitaya; san; peel; pulp; refusal; difficulty; reduction potential; mineral content; ionic gelation; beneficiary; gelation; family; parental; child; são cristóvão; cristóvão; ionic; microcapsule; manager; feeding; phenolic substance; cistern; spice; postmenopausal; situational diagnosis; capture; extract; fresh sample; perception"
51001012036p9;51001012036p9;2012.0;"health; care; nursing; professional; woman; datum; family; service; nurse; hospital; violence; patient; risk; analysis; quality; team; work; method; year; mato grosso; mato; grosso; case; life; public; process; infection; disease; research; sul";20;3;51001012036p9;enfermagem;fundação universidade federal de mato grosso do sul;campo grande;enfermagem;centro-oeste;53.0;ufms;ms;"kangaroo; pu; discharge; feminicide; ssi; diabetes; legal abortion; violence; prison; firefighter; abortion; pi; puerperal; manchester; home care; user embracement; accident; prenatal; disinfection; samu; vap; cancer; oral hygiene; embracement; adverse event; home; elderly; family; license; absenteeism"
52001016023p7;52001016023p7;2003.0;"health; care; patient; nursing; datum; pain; professional; analysis; risk; group; service; quality; factor; unit; hospital; people; year; woman; treatment; use; worker; goiás; child; nurse; practice; process; variable; life; exposure; test";20;5;52001016023p7;enfermagem;universidade federal de goiás;goiânia;enfermagem;centro-oeste;156.0;ufg;go;"interruption; picc; hav; hbv; hcv; asthma; hcl; apr; coat; fatigue; ward; atresia; pain; cardiopathy; tb; qol; opv; ebf; tube; omission; ds; waiting room; vaccine; succession; ae; leprosy; cancellation; titer; venous ulcer; anxiety"
33052018006p7;33052018006p7;2015.0;"education; research; school; student; teacher; course; process; professional; datum; training; institution; educational; evaluation; analysis; work; management; são; pedagogical; interview; network; technical; quality; teaching; order; formation; paulo; são paulo; federal; objective; public";38;3;33052018006p7;educação;universidade cidade de são paulo;são paulo;formação de gestores educacionais;sudeste;30.0;unicid;sp;"pedagogic coordinator; legal science; bonus; offender; school evasion; disabled; csp; egress; adolescent; technical visit; accompaniment; patchwork; evasion; guide; são roque; ead; disabled student; pte; junior; provinha; pedagogic; day care; cpa; santo andré; cse; young offender; aesthetic; cst; eldorado; care center"
30010012001p7;30010012001p7;2001.0;"right; fundamental; state; law; research; social; public; fundamental right; brazilian; legal; justice; constitutional; human; work; system; health; society; theory; constitution; process; principle; order; environmental; analysis; access; perspective; chapter; brazil; policy; method";26;5;30010012001p7;direito;faculdade de direito de vitoria;vitória;direito;sudeste;119.0;fdv;es;"orthothanasia; tolerance; nursing; accessory; restorative; reasonable time; expropriation; racism; class; environmental; memory; police; privacy; obstetric; tax obligation; environmental rationality; health social; aggressor; neutrality; picker; mutation; marxian; black; grace period; fundamental duty; family; restorative justice; compulsory hospitalization; book; bidding"
10001018012p7;10001018012p7;2011.0;"work; literature; narrative; character; space; novel; analysis; literary; other; research; author; element; theory; theoretical; identity; memory; way; construction; amazon; book; relationship; postcolonial; woman; history; colonial; discourse; poetry; death; language; representation";41;3;10001018012p7;linguística e literatura;universidade federal de rondônia;porto velho;estudos literários;norte;68.0;unir;ro;"diaspora; grotesque; haitian; fantastic; death; amerindian; sound; evil; agony; confession; blindness; deaf; barra; space; decolonial; guyana; symbol; marginal; macunaíma; railroad; metaphor; foray; colonial; realism; graham; ecuadorian; contempt; racism; invention; jungle"
25002015001p3;25002015001p3;1999.0;"family; research; child; experience; life; clinical; other; work; relationship; analysis; subject; practice; interview; woman; care; way; social; health; context; body; narrative; process; people; datum; participant; perspective; psychology; group; field; objective";37;4;25002015001p3;psicologia;universidade católica de pernambuco;recife;psicologia clínica;nordeste;151.0;unicap;pe;"adoptive; hatred; grandchild; disruption; amputation; elder; passion; healing; weve; gestalt; aids; grandparent; shame; madness; repetition; pain; obesity; anguish; sexuality; infertility; adoption; cocaine; violence; drug; cruelty; dualism; involvement; military; adolescent; plastic"
28001010024p9;28001010024p9;1990.0;"analysis; social; research; film; medium; production; journalism; work; digital; political; narrative; communication; television; content; process; public; news; use; participation; journalistic; field; way; context; new; concept; element; brazilian; main; approach; character";31;5;28001010024p9;comunicação e informação;universidade federal da bahia;salvador;comunicação e cultura contemporâneas;nordeste;165.0;ufba;ba;"podcast; horror; strip; happiness; documentary; hair; political culture; magazine; consultation; crowdfunding; participation; hero; abortion; telenovela; music; science fiction; metalanguage; petition; sylvia; candidate; brand; social performance; musical; senso; film; mobile; character; avatar; transparency; news"
25003011071p8;25003011071p8;2015.0;"specie; diversity; area; distribution; population; value; conservation; environmental; river; process; state; lizard; brazil; zooplankton; pernambuco; genus; total; community; activity; change; individual; beta; biodiversity; sample; new; fishing; length; region; species; climate";7;3;25003011071p8;biodiversidade;universidade federal rural de pernambuco;serra talhada;biodiversidade e conservação;nordeste;15.0;ufrpe;pe;"lizard; fishing; rotifer; testudines; climate; suape; zooplankton; climate change; copepod; beta; pajeú; euphorbiaceae; proximity; vulnerability; alkaloid fraction; fishing activity; alkaloid; beach; drug; euphorbia; north coast; functional; allometry; geometric; ni; oocyte; behavioral repertoire; river; pernambuco; beta diversity"
42037018003p1;42037018003p1;2014.0;"group; patient; health; treatment; level; woman; care; stress; effect; research; use; day; activity; intervention; datum; disease; risk; oxidative; quality; life; period; drug; time; method; lesion; analysis; age; concentration; pressure; association";45;3;42037018003p1;interdisciplinar;universidade de cruz alta;cruz alta;atenção integral à saúde;sul;61.0;unicruz;rs;"dysphagia; perineal; endometriosis; tct; hemogram; inspiratory; ovx; aas; peeling; prm; lesion; guarana; venous ulcer; cocaine; allergic; qp; xanthocarpa; hepatic steatosis; mod; nurse; dip; steatosis; ischemia; hpv; drill; acoet; prison; chf; premature newborn; prenatal"
32004010006p1;32004010006p1;1986.0;"selection; progeny; plant; grain; hybrid; genetic; trait; genotype; line; resistance; analysis; yield; population; number; breeding; effect; environment; cultivar; experiment; bean; different; chromosome; interaction; program; specie; high; method; cycle; clone; type";42;7;32004010006p1;ciências agrárias i;universidade federal de lavras;lavras;genética e melhoramento de plantas;sudeste;159.0;ufla;mg;"haploid; chromosome; sequential analysis; race; ic; progeny; centromeric; tuber; esi; failure; cat; chamaecrista; vcu; fumonisin; architecture; venom; flower; clone; phenotyping; crosse; spl; age; strain; type iv; band pattern; evaluator; hgt; hybrid; sac; selection"
33010013010p4;33010013010p4;1994.0;"model; gravitational; system; star; wave; detector; work; formation; gravitational wave; field; region; emission; magnetic; source; ray; datum; high; order; parameter; stellar; flare; energy; black; solar; galaxy; analysis; detection; planet; polarization; method";3;4;33010013010p4;astronomia / física;instituto nacional de pesquisas espaciais;são josé dos campos;astrofísica;sudeste;39.0;inpe;sp;"flare; planet; planetary; shock; star formation; stellar; total power; dark energy; coronal; peer; black; kev; nss; detector; polarization; black hole; core; cmb; hh; galaxy; gw; abundance; disk; isolation; star; cyclotron; dark; cycle; jet; cls"
25020013005p0;25020013005p0;2013.0;"health; group; datum; child; test; school; analysis; activity; research; use; quality; professional; work; level; disease; population; life; physical; sample; family; control; body; age; education; time; session; year; exercise; care; high";45;4;25020013005p0;interdisciplinar;universidade federal do vale do são francisco;petrolina;ciências da saúde e biológicas;nordeste;112.0;univasf;pe;"re; ql; health information; violence; session; aneurysm; elder; game; mmhg; voice; rop; dengue; silk; ppy; software development; musculoskeletal; adolescent; hydration; physical aggression; dental; intercostal; small mammal; sleep; transplantation; transplant; wine; mrsa; creatine; nerve; obese"
22003010028p7;22003010028p7;2015.0;"coconut; coconut water; water; group; use; patient; control; treatment; solution; acp; application; time; health; surgical; protein; diagnosis; evaluation; surgery; protocol; disease; gastric; powdered; tool; g1; spermatozoa; procedure; product; growth; development; different";48;4;22003010028p7;biotecnologia;universidade estadual do ceará;fortaleza;biotecnologia em saúde humana e animal;nordeste;27.0;uece;ce;"app; mouthwash; fetal weight; acp; perioperative; ei; device; nim; spermatozoa; diabetic foot; coconut water; powdered; coriacea; solution; annona; fabric; fetal; apron; vulnerability; coconut; surgical; semen; lvc; wireless; anvisa; g1; g3; sperm; methyltransferase; foot"
53022017001p6;53022017001p6;2012.0;"health; elderly; patient; woman; care; group; quality; federal; year; analysis; hospital; pregnant; method; datum; pregnant woman; use; nutritional; violence; district; federal district; pregnancy; conclusion; life; treatment; case; disease; factor; risk; public; population";20;3;53022017001p6;enfermagem;fundação de ensino e pesquisa em ciências da saúde;brasília;ciências para a saúde;centro-oeste;78.0;fepecs;df;"sterilization; acne; rape; psoriasis; df; violence; polypharmacy; ptsd; osteoporosis; pmma; transfusion; csh; bone mass; frailty syndrome; antidepressant; amp; sarcopenia; nerve block; objective parameter; epidermal; mother; ree; insulin; periodontal; ius; kdigo; samambaia; waveform; doppler; csc"
33026017001p5;33026017001p5;2011.0;"group; patient; disease; bone; level; treatment; cell; animal; method; woman; test; case; control; age; child; analysis; tissue; most; conclusion; effect; rat; period; day; symptom; hospital; year; significant; cognitive; volume; diagnosis";15;3;33026017001p5;medicina i;faculdade de medicina de jundiaí;jundiaí;ciências da saúde;sudeste;88.0;fmj;sp;"meditation; psp; pth; adhesive; lawyer; gauze; uterine; pl; contrast medium; anxiety; periodontal; faller; abrasion; periodontal disease; sponge; threonine; pgp; asbestos; glandular; dementia; icr; sg; pneumothorax; mthfr; adolescent pregnancy; hf; thrombolysis; psychiatric; cognitive training; language development"
32007019011p0;32007019011p0;2001.0;"water; environmental; removal; adsorption; system; process; analysis; concentration; sample; treatment; river; use; value; model; condition; area; quality; production; datum; method; mg; basin; high; main; solution; ph; metal; waste; solid; product";10;5;32007019011p0;engenharias i;universidade federal de ouro preto;ouro preto;engenharia ambiental;sudeste;84.0;ufop;mg;"manganese; wqi; biodiversity; nis; husk; hydrolysate; forest; caldas; yeast; amine; glycerol; captopril; environmental health; r1; microalgae; offset; dcf; waste; clarification; adsorption; ferrous sulfate; chlorination; carbendazim; microcontaminant; foundry; ah; carmo; good practice; pretreatment; photobioreactor"
31010016150p5;31010016150p5;2016.0;"science; scientific; communication; museum; public; health; research; science communication; knowledge; action; school; analysis; social; discourse; engagement; article; subject; group; medium; role; newspaper; journalist; activity; information; life; child; education; mediation; abortion; society";45;3;31010016150p5;interdisciplinar;fundacao oswaldo cruz (fiocruz);rio de janeiro;divulgação da ciência, tecnologia e saúde;sudeste;13.0;fiocruz;rj;"journalist; reis; adolescent pregnancy; museum; child; abortion; blog; josé; ufg; jornal nacional; science communication; scientific; science; journal; school; pregnancy; jornal; zika; ace; geosciences; planetary; engagement; endemic; adolescent; citation; facebook; jn; vaccine; fiocruz; museums"
33009015079p0;33009015079p0;2012.0;"problem; network; method; approach; datum; technique; algorithm; learning; solution; new; work; system; application; function; performance; use; graph; literature; search; feature; other; dataset; time; clustering; model; classification; machine; measure; instance; aspect";2;4;33009015079p0;ciência da computação;universidade federal de são paulo;são josé dos campos;ciência da computação;sudeste;42.0;unifesp;sp;"dag; kernel; pole; annotation; dynamic aspect; dt; volunteer; plant; sdn; redundancy; visual; tdcs; feature selection; actuator; graph; bap; robot; controller; functional redundancy; metadata; lagrangian; septum; posterior wall; cs; micrornas; regression; cutting; symbolic; aspect; nearest neighbor"
